,SurahNumber,SurahName,Disjoined letters,Nbr of Ayat,Nbr of Letters,Nbr of words,Aya number,Arabic Text,Transliterated Text
47,2,Al-Baqara, ,286,79,18,41,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,wamnwa bma anzlt mcd9a lma m3km wla tkwnwa awl kafr bh wla t2trwa bayaty 0mna 9lyla wayay fat9wn
48,2,Al-Baqara, ,286,42,8,42,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,wla tlbswa al79 balba6l wtktmwa al79 wantm t3lmwn
49,2,Al-Baqara, ,286,41,7,43,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين,wa9ymwa alclat watwa alzkat wark3wa m3 alrak3yn
50,2,Al-Baqara, ,286,55,10,44,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون,atamrwn alnas balbr wtnswn anfskm wantm ttlwn alktab afla t39lwn
51,2,Al-Baqara, ,286,47,8,45,واستعينوا بالصبر والصلاة وإنها لكبيرة إلا على الخاشعين,wast3ynwa balcbr walclat wanha lkbyrt ala 3lu al5a23yn
52,2,Al-Baqara, ,286,38,8,46,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,al1yn y4nwn anhm mla9w rbhm wanhm alyh raj3wn
53,2,Al-Baqara, ,286,58,12,47,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,ya bny asraayl a1krwa n3mty alty an3mt 3lykm wany f8ltkm 3lu al3almyn
54,2,Al-Baqara, ,286,69,19,48,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون,wat9wa ywma la tjzy nfs 3n nfs 2yaa wla y9bl mnha 2fa3t wla ya51 mnha 3dl wla hm yncrwn
55,2,Al-Baqara, ,286,84,18,49,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم,wa1 njynakm mn al fr3wn yswmwnkm swa al31ab y1b7wn abnaakm wyst7ywn nsaakm wfy 1lkm blaa mn rbkm 34ym
56,2,Al-Baqara, ,286,50,10,50,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون,wa1 fr9na bkm alb7r fanjynakm wagr9na al fr3wn wantm tn4rwn
57,2,Al-Baqara, ,286,53,12,51,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون,wa1 wa3dna mwsu arb3yn lylt 0m at51tm al3jl mn b3dh wantm 4almwn
58,2,Al-Baqara, ,286,30,8,52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,0m 3fwna 3nkm mn b3d 1lk l3lkm t2krwn
59,2,Al-Baqara, ,286,37,7,53,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون,wa1 atyna mwsu alktab walfr9an l3lkm thtdwn
60,2,Al-Baqara, ,286,121,27,54,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم,wa1 9al mwsu l9wmh ya 9wm ankm 4lmtm anfskm bat5a1km al3jl ftwbwa alu barakm fa9tlwa anfskm 1lkm 5yr lkm 3nd barakm ftab 3lykm anh hw altwab alr7ym
61,2,Al-Baqara, ,286,60,15,55,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,wa1 9ltm ya mwsu ln namn lk 7tu nru allh jhrt fa51tkm alca39t wantm tn4rwn
62,2,Al-Baqara, ,286,30,7,56,ثم بعثناكم من بعد موتكم لعلكم تشكرون,0m b30nakm mn b3d mwtkm l3lkm t2krwn
63,2,Al-Baqara, ,286,90,18,57,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون,w4llna 3lykm algmam wanzlna 3lykm almn walslwu klwa mn 6ybat ma rz9nakm wma 4lmwna wlkn kanwa anfshm y4lmwn
64,2,Al-Baqara, ,286,95,20,58,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم وسنزيد المحسنين,wa1 9lna ad5lwa h1h al9ryt fklwa mnha 7y0 2atm rgda wad5lwa albab sjda w9wlwa 76t ngfr lkm 56ayakm wsnzyd alm7snyn
65,2,Al-Baqara, ,286,77,18,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,fbdl al1yn 4lmwa 9wla gyr al1y 9yl lhm fanzlna 3lu al1yn 4lmwa rjza mn alsmaa bma kanwa yfs9wn
66,2,Al-Baqara, ,286,118,28,60,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين,wa1 asts9u mwsu l9wmh f9lna a8rb b3cak al7jr fanfjrt mnh a0nta 32rt 3yna 9d 3lm kl anas m2rbhm klwa wa2rbwa mn rz9 allh wla t30wa fy alar8 mfsdyn
67,2,Al-Baqara, ,286,257,60,61,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذي هو أدنى بالذي هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون,wa1 9ltm ya mwsu ln ncbr 3lu 63am wa7d fad3 lna rbk y5rj lna mma tnbt alar8 mn b9lha w90aaha wfwmha w3dsha wbclha 9al atstbdlwn al1y hw adnu bal1y hw 5yr ahb6wa mcra fan lkm ma saltm w8rbt 3lyhm al1lt walmsknt wbaawa bg8b mn allh 1lk banhm kanwa ykfrwn bayat allh wy9tlwn alnbyyn bgyr al79 1lk bma 3cwa wkanwa y3tdwn
68,2,Al-Baqara, ,286,108,24,62,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,an al1yn amnwa wal1yn hadwa walncaru walcabayn mn amn ballh walywm ala5r w3ml cal7a flhm ajrhm 3nd rbhm wla 5wf 3lyhm wla hm y7znwn
69,2,Al-Baqara, ,286,70,15,63,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون,wa1 a51na my0a9km wrf3na fw9km al6wr 51wa ma atynakm b9wt wa1krwa ma fyh l3lkm tt9wn
70,2,Al-Baqara, ,286,54,13,64,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,0m twlytm mn b3d 1lk flwla f8l allh 3lykm wr7mth lkntm mn al5asryn
71,2,Al-Baqara, ,286,54,12,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين,wl9d 3lmtm al1yn a3tdwa mnkm fy alsbt f9lna lhm kwnwa 9rdt 5asayn
72,2,Al-Baqara, ,286,45,9,66,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,fj3lnaha nkala lma byn ydyha wma 5lfha wmw34t llmt9yn
73,2,Al-Baqara, ,286,83,20,67,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة قالوا أتتخذنا هزوا قال أعوذ بالله أن أكون من الجاهلين,wa1 9al mwsu l9wmh an allh yamrkm an t1b7wa b9rt 9alwa att51na hzwa 9al a3w1 ballh an akwn mn aljahlyn
74,2,Al-Baqara, ,286,80,23,68,قالوا ادع لنا ربك يبين لنا ما هي قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون,9alwa ad3 lna rbk ybyn lna ma hy 9al anh y9wl anha b9rt la far8 wla bkr 3wan byn 1lk faf3lwa ma tamrwn
75,2,Al-Baqara, ,286,71,18,69,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,9alwa ad3 lna rbk ybyn lna ma lwnha 9al anh y9wl anha b9rt cfraa fa93 lwnha tsr alna4ryn
76,2,Al-Baqara, ,286,62,17,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,9alwa ad3 lna rbk ybyn lna ma hy an alb9r t2abh 3lyna wana an 2aa allh lmhtdwn
77,2,Al-Baqara, ,286,97,24,71,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها قالوا الآن جئت بالحق فذبحوها وما كادوا يفعلون,9al anh y9wl anha b9rt la 1lwl t0yr alar8 wla ts9y al7r0 mslmt la 2yt fyha 9alwa alan jat bal79 f1b7wha wma kadwa yf3lwn
78,2,Al-Baqara, ,286,45,10,72,وإذ قتلتم نفسا فادارأتم فيها والله مخرج ما كنتم تكتمون,wa1 9tltm nfsa fadaratm fyha wallh m5rj ma kntm tktmwn
79,2,Al-Baqara, ,286,57,11,73,فقلنا اضربوه ببعضها كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون,f9lna a8rbwh bb38ha k1lk y7yy allh almwtu wyrykm ayath l3lkm t39lwn
80,2,Al-Baqara, ,286,141,37,74,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهار وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغافل عما تعملون,0m 9st 9lwbkm mn b3d 1lk fhy kal7jart aw a2d 9swt wan mn al7jart lma ytfjr mnh alanhar wan mnha lma y299 fy5rj mnh almaa wan mnha lma yhb6 mn 52yt allh wma allh bgafl 3ma t3mlwn
81,2,Al-Baqara, ,286,77,19,75,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,aft6m3wn an yamnwa lkm w9d kan fry9 mnhm ysm3wn klam allh 0m y7rfwnh mn b3d ma 39lwh whm y3lmwn
82,2,Al-Baqara, ,286,101,23,76,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون,wa1a l9wa al1yn amnwa 9alwa amna wa1a 5la b38hm alu b38 9alwa at7d0wnhm bma ft7 allh 3lykm ly7ajwkm bh 3nd rbkm afla t39lwn
83,2,Al-Baqara, ,286,36,9,77,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,awla y3lmwn an allh y3lm ma ysrwn wma y3lnwn
84,2,Al-Baqara, ,286,45,11,78,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,wmnhm amywn la y3lmwn alktab ala amany wan hm ala y4nwn
85,2,Al-Baqara, ,286,102,24,79,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,fwyl ll1yn yktbwn alktab baydyhm 0m y9wlwn h1a mn 3nd allh ly2trwa bh 0mna 9lyla fwyl lhm mma ktbt aydyhm wwyl lhm mma yksbwn
86,2,Al-Baqara, ,286,91,23,80,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون,w9alwa ln tmsna alnar ala ayama m3dwdt 9l at51tm 3nd allh 3hda fln y5lf allh 3hdh am t9wlwn 3lu allh ma la t3lmwn
87,2,Al-Baqara, ,286,54,13,81,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون,blu mn ksb syat wa7a6t bh 56yath fawlak ac7ab alnar hm fyha 5aldwn
88,2,Al-Baqara, ,286,52,10,82,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون,wal1yn amnwa w3mlwa alcal7at awlak ac7ab aljnt hm fyha 5aldwn
89,2,Al-Baqara, ,286,150,29,83,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون,wa1 a51na my0a9 bny asraayl la t3bdwn ala allh wbalwaldyn a7sana w1y al9rbu walytamu walmsakyn w9wlwa llnas 7sna wa9ymwa alclat watwa alzkat 0m twlytm ala 9lyla mnkm wantm m3r8wn
90,2,Al-Baqara, ,286,71,15,84,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون,wa1 a51na my0a9km la tsfkwn dmaakm wla t5rjwn anfskm mn dyarkm 0m a9rrtm wantm t2hdwn
91,2,Al-Baqara, ,286,231,49,85,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ويوم القيامة يردون إلى أشد العذاب وما الله بغافل عما تعملون,0m antm halaa t9tlwn anfskm wt5rjwn fry9a mnkm mn dyarhm t4ahrwn 3lyhm bala0m wal3dwan wan yatwkm asaru tfadwhm whw m7rm 3lykm a5rajhm aftamnwn bb38 alktab wtkfrwn bb38 fma jzaa mn yf3l 1lk mnkm ala 5zy fy al7yat aldnya wywm al9yamt yrdwn alu a2d al31ab wma allh bgafl 3ma t3mlwn
92,2,Al-Baqara, ,286,63,13,86,أولئك الذين اشتروا الحياة الدنيا بالآخرة فلا يخفف عنهم العذاب ولا هم ينصرون,awlak al1yn a2trwa al7yat aldnya bala5rt fla y5ff 3nhm al31ab wla hm yncrwn
93,2,Al-Baqara, ,286,138,28,87,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,wl9d atyna mwsu alktab w9fyna mn b3dh balrsl watyna 3ysu abn mrym albynat waydnah brw7 al9ds afklma jaakm rswl bma la thwu anfskm astkbrtm ffry9a k1btm wfry9a t9tlwn
94,2,Al-Baqara, ,286,46,10,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,w9alwa 9lwbna glf bl l3nhm allh bkfrhm f9lyla ma yamnwn
95,2,Al-Baqara, ,286,108,26,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكافرين,wlma jaahm ktab mn 3nd allh mcd9 lma m3hm wkanwa mn 9bl ystft7wn 3lu al1yn kfrwa flma jaahm ma 3rfwa kfrwa bh fl3nt allh 3lu alkafryn
96,2,Al-Baqara, ,286,107,27,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين,basma a2trwa bh anfshm an ykfrwa bma anzl allh bgya an ynzl allh mn f8lh 3lu mn y2aa mn 3badh fbaawa bg8b 3lu g8b wllkafryn 31ab mhyn
97,2,Al-Baqara, ,286,119,30,91,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,wa1a 9yl lhm amnwa bma anzl allh 9alwa namn bma anzl 3lyna wykfrwn bma wraah whw al79 mcd9a lma m3hm 9l flm t9tlwn anbyaa allh mn 9bl an kntm mamnyn
